
Symbol table '.dynsym' contains 2394 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000000     0 OBJECT  GLOBAL DEFAULT  UND __libc_stack_end@GLIBC_2.1 (34)
     2: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global@GLIBC_PRIVATE (35)
     3: 00000000     0 OBJECT  GLOBAL DEFAULT  UND __libc_enable_secure@GLIBC_PRIVATE (35)
     4: 00000000     0 NOTYPE  WEAK   DEFAULT  UND _IO_stdin_used
     5: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global_ro@GLIBC_PRIVATE (35)
     6: 00000000     0 FUNC    GLOBAL DEFAULT  UND _dl_find_dso_for_object@GLIBC_PRIVATE (35)
     7: 00000000     0 NOTYPE  WEAK   DEFAULT  UND _dl_starting_up
     8: 00000000     0 FUNC    GLOBAL DEFAULT  UND ___tls_get_addr@GLIBC_2.3 (36)
     9: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _dl_argv@GLIBC_PRIVATE (35)
    10: 00064490   290 FUNC    GLOBAL DEFAULT   12 putwchar@@GLIBC_2.2
    11: 00080c50    29 FUNC    GLOBAL DEFAULT   12 __strspn_c1@@GLIBC_2.1.1
    12: 000fa410    48 FUNC    GLOBAL DEFAULT   12 __gethostname_chk@@GLIBC_2.4
    13: 00080c70    54 FUNC    GLOBAL DEFAULT   12 __strspn_c2@@GLIBC_2.1.1
    14: 000fe600   163 FUNC    GLOBAL DEFAULT   12 setrpcent@@GLIBC_2.0
    15: 00099960    39 FUNC    GLOBAL DEFAULT   12 __wcstod_l@@GLIBC_2.1
    16: 00080cb0   100 FUNC    GLOBAL DEFAULT   12 __strspn_c3@@GLIBC_2.1.1
    17: 000ea8c0    60 FUNC    GLOBAL DEFAULT   12 epoll_create@@GLIBC_2.3.2
    18: 000cf390    60 FUNC    WEAK   DEFAULT   12 sched_get_priority_min@@GLIBC_2.0
    19: 000fa440    38 FUNC    GLOBAL DEFAULT   12 __getdomainname_chk@@GLIBC_2.4
    20: 000eabc0    66 FUNC    GLOBAL DEFAULT   12 klogctl@@GLIBC_2.0
    21: 000256c0    15 FUNC    GLOBAL DEFAULT   12 __tolower_l@@GLIBC_2.1
    22: 0004a1e0    41 FUNC    GLOBAL DEFAULT   12 dprintf@@GLIBC_2.0
    23: 000b4280   137 FUNC    WEAK   DEFAULT   12 setuid@@GLIBC_2.0
    24: 0009f380  3193 FUNC    GLOBAL DEFAULT   12 __wcscoll_l@@GLIBC_2.1
    25: 000eda00   168 FUNC    WEAK   DEFAULT   12 iswalpha@@GLIBC_2.0
    26: 000e1110    64 FUNC    WEAK   DEFAULT   12 __getrlimit@@GLIBC_PRIVATE
    27: 00101aa0    26 FUNC    GLOBAL DEFAULT   12 __internal_endnetgrent@@GLIBC_PRIVATE
    28: 000e2450    60 FUNC    GLOBAL DEFAULT   12 chroot@@GLIBC_2.0
    29: 000a46c0   209 IFUNC   GLOBAL DEFAULT   12 __gettimeofday@@GLIBC_2.0
    30: 0006ac60    70 FUNC    GLOBAL DEFAULT   12 _IO_file_setbuf@@GLIBC_2.1
    31: 001b8dc4     4 OBJECT  WEAK   DEFAULT   33 daylight@@GLIBC_2.0
    32: 00123f30    70 FUNC    GLOBAL DEFAULT   12 _IO_file_setbuf@GLIBC_2.0
    33: 000a7640    66 FUNC    GLOBAL DEFAULT   12 getdate@@GLIBC_2.1
    34: 000f9b80   239 FUNC    GLOBAL DEFAULT   12 __vswprintf_chk@@GLIBC_2.4
    35: 00124880   332 FUNC    GLOBAL DEFAULT   12 _IO_file_fopen@GLIBC_2.0
    36: 000f6c80    58 FUNC    GLOBAL DEFAULT   12 pthread_cond_signal@@GLIBC_2.3.2
    37: 00127960    58 FUNC    GLOBAL DEFAULT   12 pthread_cond_signal@GLIBC_2.0
    38: 0006c480  1152 FUNC    GLOBAL DEFAULT   12 _IO_file_fopen@@GLIBC_2.1
    39: 00031b60    30 FUNC    WEAK   DEFAULT   12 strtoull_l@@GLIBC_2.3
    40: 00117cc0   113 FUNC    GLOBAL DEFAULT   12 xdr_short@@GLIBC_2.0
    41: 000e74f0    94 FUNC    GLOBAL DEFAULT   12 lfind@@GLIBC_2.0
    42: 000622b0   239 FUNC    GLOBAL DEFAULT   12 _IO_padn@@GLIBC_2.0
    43: 0007a6a0  1314 FUNC    WEAK   DEFAULT   12 strcasestr@@GLIBC_2.1
    44: 000b3420   785 FUNC    GLOBAL DEFAULT   12 __libc_fork@@GLIBC_PRIVATE
    45: 00118230   189 FUNC    GLOBAL DEFAULT   12 xdr_int64_t@@GLIBC_2.1.1
    46: 00099960    39 FUNC    WEAK   DEFAULT   12 wcstod_l@@GLIBC_2.3
    47: 000eb9a0    63 FUNC    WEAK   DEFAULT   12 socket@@GLIBC_2.0
    48: 00114d40   192 FUNC    GLOBAL DEFAULT   12 key_encryptsession_pk@@GLIBC_2.1
    49: 0007b940   187 FUNC    WEAK   DEFAULT   12 argz_create@@GLIBC_2.0
    50: 00064740    78 FUNC    GLOBAL DEFAULT   12 putchar_unlocked@@GLIBC_2.0
    51: 000807f0    52 FUNC    GLOBAL DEFAULT   12 __strpbrk_g@@GLIBC_2.1.1
    52: 0010c6a0   213 FUNC    GLOBAL DEFAULT   12 xdr_pmaplist@@GLIBC_2.0
    53: 000f82a0    62 FUNC    GLOBAL DEFAULT   12 __stpcpy_chk@@GLIBC_2.3.4
    54: 0003cac0   212 FUNC    GLOBAL DEFAULT   12 __xpg_basename@@GLIBC_2.0
    55: 00108ce0   252 FUNC    GLOBAL DEFAULT   12 __res_init@@GLIBC_2.2
